,label,height,weight,shape,appearance,salary,house,car,girlFriend,friend,education,emotion,behavior,cellphone,sick,brain,selfConfidence,interest,GPA,sexmate,responsibility
0,loser,159,74,heavy,ugly,488,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,50,2,2.44,0,0
1,loser,163,65,heavy,ugly,450,0,0,0,few,highschool,gloomy,passive,android,1,stupid,23,3,0.85,0,0
2,winner,172,65,slim,handsome,4045,3,4,1,many,Doctor,optimism,positive,apple,0,smart,69,12,3.95,1,1
3,loser,160,79,heavy,ugly,550,0,0,0,few,highschool,gloomy,passive,android,1,stupid,44,3,2.48,0,0
4,loser,163,97,heavy,ugly,600,0,0,0,few,highschool,gloomy,passive,android,1,stupid,26,4,0.43,0,0
5,winner,198,54,slim,handsome,6004,2,1,3,many,Doctor,optimism,positive,apple,0,smart,82,11,4.2,9,1
6,winner,182,45,slim,handsome,9728,3,2,1,many,Master,optimism,positive,apple,0,smart,85,16,3.59,1,1
7,winner,166,56,slim,handsome,3132,4,3,4,many,Doctor,optimism,positive,apple,0,smart,80,14,4.25,10,1
8,loser,155,87,heavy,ugly,928,0,0,0,few,highschool,gloomy,passive,android,1,stupid,19,2,1.97,0,0
9,loser,160,87,heavy,ugly,897,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,48,5,2.82,0,0
10,winner,173,59,slim,handsome,9161,5,3,4,many,Master,optimism,positive,apple,0,smart,100,10,4.11,3,1
11,winner,185,55,slim,handsome,2860,3,1,3,many,Master,optimism,positive,apple,0,smart,51,16,4.15,8,1
12,loser,162,81,heavy,ugly,407,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,29,3,2.84,0,0
13,winner,183,48,slim,handsome,5540,1,4,1,many,Doctor,optimism,positive,apple,0,smart,74,17,4.09,9,1
14,loser,154,86,heavy,ugly,775,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,47,5,2.44,0,0
15,winner,194,59,slim,handsome,6258,4,1,1,many,Doctor,optimism,positive,apple,0,smart,69,17,3.8,1,1
16,loser,150,93,heavy,ugly,466,0,0,0,few,highschool,gloomy,passive,android,1,stupid,26,4,0.02,0,0
17,winner,186,55,slim,handsome,1938,1,2,2,many,Master,optimism,positive,apple,0,smart,95,17,3.76,8,1
18,winner,192,40,slim,handsome,8574,2,4,3,many,Doctor,optimism,positive,apple,0,smart,80,20,3.62,2,1
19,winner,175,47,slim,handsome,8102,3,5,2,many,Doctor,optimism,positive,apple,0,smart,95,8,3.1,10,1
20,winner,173,47,slim,handsome,7076,3,3,2,many,Master,optimism,positive,apple,0,smart,68,12,3.96,9,1
21,winner,188,65,slim,handsome,9945,5,1,1,many,Doctor,optimism,positive,apple,0,smart,67,16,3.18,2,1
22,loser,163,93,heavy,ugly,430,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,14,0,0.82,0,0
23,loser,160,67,heavy,ugly,256,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,11,0,2.6,0,0
24,winner,188,46,slim,handsome,5311,5,5,5,many,Master,optimism,positive,apple,0,smart,73,19,4.16,9,1
25,loser,157,92,heavy,ugly,97,0,0,0,few,highschool,gloomy,passive,android,1,stupid,20,2,2.05,0,0
26,winner,199,63,slim,handsome,3890,1,4,5,many,Master,optimism,positive,apple,0,smart,70,11,3.54,3,1
27,loser,150,69,heavy,ugly,45,0,0,0,few,highschool,gloomy,passive,android,1,stupid,37,2,2.86,0,0
28,winner,186,57,slim,handsome,3429,4,1,4,many,Doctor,optimism,positive,apple,0,smart,100,20,3.01,9,1
29,loser,157,88,heavy,ugly,539,0,0,0,few,highschool,gloomy,passive,android,1,stupid,47,4,0.53,0,0
30,winner,173,49,slim,handsome,4353,4,3,4,many,Doctor,optimism,positive,apple,0,smart,51,8,3.68,6,1
31,winner,172,46,slim,handsome,2841,5,1,4,many,Master,optimism,positive,apple,0,smart,77,9,3.3,2,1
32,winner,188,47,slim,handsome,8889,2,5,5,many,Doctor,optimism,positive,apple,0,smart,86,9,3.23,2,1
33,loser,164,65,heavy,ugly,276,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,47,2,0.79,0,0
34,loser,160,92,heavy,ugly,820,0,0,0,few,highschool,gloomy,passive,android,1,stupid,6,1,2.4,0,0
35,winner,192,42,slim,handsome,9799,2,3,3,many,Master,optimism,positive,apple,0,smart,67,19,3.81,7,1
36,loser,165,82,heavy,ugly,333,0,0,0,few,highschool,gloomy,passive,android,1,stupid,33,1,1.44,0,0
37,winner,195,43,slim,handsome,2321,5,4,3,many,Master,optimism,positive,apple,0,smart,77,13,4.21,6,1
38,loser,154,94,heavy,ugly,879,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,6,2,1.31,0,0
39,winner,184,44,slim,handsome,8581,2,3,3,many,Doctor,optimism,positive,apple,0,smart,94,10,3.59,6,1
40,loser,160,75,heavy,ugly,234,0,0,0,few,highschool,gloomy,passive,android,1,stupid,31,3,1.18,0,0
41,winner,169,54,slim,handsome,1542,1,2,3,many,Doctor,optimism,positive,apple,0,smart,72,11,3.08,1,1
42,loser,155,75,heavy,ugly,547,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,25,4,0.74,0,0
43,winner,193,58,slim,handsome,4841,2,1,2,many,Doctor,optimism,positive,apple,0,smart,72,15,3.81,9,1
44,winner,191,44,slim,handsome,3408,1,2,1,many,Master,optimism,positive,apple,0,smart,91,19,3.58,3,1
45,loser,155,85,heavy,ugly,763,0,0,0,few,highschool,gloomy,passive,android,1,stupid,32,5,2.16,0,0
46,loser,154,67,heavy,ugly,334,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,4,4,1.29,0,0
47,winner,173,60,slim,handsome,7650,4,1,2,many,Doctor,optimism,positive,apple,0,smart,81,12,4.16,1,1
48,loser,163,86,heavy,ugly,71,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,21,2,2.38,0,0
49,loser,152,99,heavy,ugly,763,0,0,0,few,highschool,gloomy,passive,android,1,stupid,8,3,2.13,0,0
50,winner,186,54,slim,handsome,7062,1,2,5,many,Doctor,optimism,positive,apple,0,smart,64,16,3.73,4,1
51,loser,164,93,heavy,ugly,443,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,31,3,1.44,0,0
52,loser,162,70,heavy,ugly,917,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,1,2,0.48,0,0
53,winner,189,49,slim,handsome,1677,3,5,4,many,Doctor,optimism,positive,apple,0,smart,77,11,3.87,6,1
54,loser,156,88,heavy,ugly,333,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,43,3,1.63,0,0
55,loser,152,97,heavy,ugly,369,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,1,5,2.99,0,0
56,loser,150,74,heavy,ugly,414,0,0,0,few,highschool,gloomy,passive,android,1,stupid,6,0,1.92,0,0
57,winner,167,65,slim,handsome,6761,1,4,5,many,Doctor,optimism,positive,apple,0,smart,84,12,3.79,1,1
