,label,height,weight,shape,appearance,salary,house,car,girlFriend,friend,education,emotion,behavior,cellphone,sick,brain,selfConfidence,interest,GPA,sexmate,responsibility
0,loser,151,94,heavy,ugly,1537,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,47,6,2.54,1,0
1,loser,164,85,heavy,ugly,3984,0,1,0,few,Bachelor,gloomy,passive,android,1,stupid,64,1,1.36,2,0
2,loser,156,85,heavy,ugly,4652,1,1,2,few,Bachelor,gloomy,passive,android,1,stupid,32,6,1.28,3,0
3,loser,158,97,heavy,ugly,4976,0,1,1,few,highschool,gloomy,passive,android,1,stupid,58,4,0.99,1,0
4,winner,176,49,heavy,ugly,6335,4,5,2,few,Bachelor,optimism,positive,apple,1,stupid,100,17,4.22,7,1
5,winner,176,67,slim,handsome,5816,2,1,2,many,Master,gloomy,passive,android,1,stupid,95,10,3.24,3,1
6,winner,190,79,slim,handsome,1156,3,1,4,many,Bachelor,optimism,positive,apple,0,stupid,96,15,3.08,4,1
7,loser,158,80,heavy,ugly,3200,0,2,0,few,highschool,gloomy,passive,android,1,stupid,21,2,0.68,4,0
8,winner,197,54,slim,handsome,5673,1,1,4,few,Master,optimism,passive,apple,1,smart,89,19,4.18,3,1
9,winner,174,73,slim,handsome,4090,5,5,3,many,Master,optimism,positive,apple,0,smart,52,19,3.5,6,1
10,loser,155,83,heavy,ugly,108,2,1,0,few,Bachelor,gloomy,passive,android,1,stupid,20,1,3.83,1,0
11,loser,157,77,heavy,ugly,4664,0,2,1,few,Bachelor,gloomy,passive,android,1,stupid,2,0,3.45,1,0
12,loser,152,82,heavy,ugly,1740,1,0,1,few,Bachelor,gloomy,passive,android,1,stupid,61,9,1.48,0,0
13,loser,160,95,heavy,ugly,3529,0,2,0,few,Bachelor,gloomy,passive,android,1,stupid,22,0,3.82,0,0
14,winner,168,41,heavy,handsome,7176,5,3,3,many,Master,gloomy,positive,apple,0,smart,56,16,4.28,1,1
15,loser,159,86,heavy,ugly,3260,0,0,0,few,Bachelor,gloomy,passive,android,1,stupid,15,4,3.07,4,0
16,loser,154,81,heavy,ugly,3899,1,2,2,few,Bachelor,gloomy,passive,android,1,stupid,4,11,1.24,3,0
17,loser,150,66,heavy,ugly,1757,0,2,1,few,Bachelor,gloomy,passive,android,1,stupid,15,6,0.56,0,0
18,winner,193,78,slim,handsome,4992,4,5,2,many,Doctor,optimism,positive,apple,1,stupid,96,8,3.05,4,0
